Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",1206,4,47 nF,
"C10, C14, C18, C20, C21, C27, C29, C33, C34, C36, C40, C6",0603,12,100 nF,
"C11, C12",0402,2,4.7 nF,
"C13, C5, C9",0603,3,10 µF,
C15,0402,1,1.5 nF,
"C16, C17",CAPPC2012X90N,2,1 µF,
C19,0603,1,4.7 uF,
"C22, C43",0603,2,1 µF,
"C23, C24",0603,2,1 uF,
C25,0603,1,1 nF,
"C26, C28",0603,2,10 uF,
C32,0603,1,10 nF,
C35,0603,1,1uF,
"C37, C38",1206,2,100nF,
"C39, C41",0603,2,10uF,
C42,0603,1,6.8pF,
"C7, C8",0402,2,2.2 nF,
"D1, D2",SST10IRDB90HS810,2,SST-10-IRD-B90H-S810,
D3,VEMD8082C,1,VEMD8082,
"E1, E2, E3, E4, E5",0914015207714110,5,~,
J1,303D-L186F020,1,303C-C4115-30-04,
J2,TC2030IDCFP,1,TC2030-IDC-FP,
"J3, J4, J5, J6",TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,4,Conn_01x01_Pin,
"OPT1, OPT2",LEDIL_FP11055_LISA2_RS_PIN,2,FP11055_LISA2-RS-PIN,
P1,SolderWire-0.5sqmm_1x02_P4.8mm_D0.9mm_OD2.3mm,1,PHR-2,
"R1, R2",0603,2,4.7k,
"R10, R11, R12, R13",0603,4,51 kΩ,
"R14, R17, R18, R19, R7",0603,5,100 kΩ,
"R15, R22, R23",0603,3,1 MΩ,
R16,0603,1,10 Ω,
"R20, R21",0603,2,22 kΩ,
R24,0603,1,1 MOhm,
"R25, R26",1206,2,0.13 Ohm,
R27,0603,1,4.7 kOhm,
"R28, R29, R33, R34",0603,4,10k,
"R3, R4, R5, R6",0603,4,22 MΩ,
"R30, R31",0603,2,100R,
R32,0603,1,1.8k,
R35,0603,1,10R,
"R36, R37",0603,2,100k,
"R8, R9",0603,2,10 kΩ,
S1,JS102000SAQN,1,JS102000SAQN,
U1,MDBT42512KV2,1,MDBT42-512KV2,
U10,OPA381AIDGKR,1,OPA381AIDGKR,
U2,TPS7A2033PDBVR,1,TPS7A2033PDBVR,
U3,TPS22918DBVR-6N,1,TPS22918DBVR,
U4,DRV8837DSGR,1,DRV8837DSGR,
U5,ADS1292IPBSR,1,ADS1292IPBSR,
"U6, U7",PAM2808BLBR,2,~,
U8,TMP1075NDRLR,1,TMP1075NDRLR,
U9,MCP3561T-E_ST,1,MCP3561T-E_ST,
