Designator,Mid X,Mid Y,Rotation,Layer
C730_BULK1,127.254,-131.79945,0.0,top
C730_BYP1,125.5268,-129.032,90.0,top
C850_BULK1,142.761,-119.4308,0.0,top
C850_BYP1,139.5098,-119.4308,0.0,top
CSLOPE_730,129.094201,-122.24905,0.0,top
CSLOPE_850,147.25015,-120.2944,0.0,top
C_ADC_AVDD_BULK1,131.0132,-136.906,180.0,top
C_ADC_AVDD_BYP1,131.0132,-135.2296,180.0,top
C_ADC_DVDD_BULK1,131.0132,-131.9784,180.0,top
C_ADC_DVDD_BYP1,133.3568,-128.142999,90.0,top
C_ADC_PHOTO_N1,138.3792,-139.4968,270.0,top
C_ADC_PHOTO_P1,136.8044,-139.4838,270.0,top
C_ADC_REF_BULK1,132.08,-139.4838,270.0,top
C_ADC_REF_BYP1,133.6548,-139.4838,270.0,top
C_EEG_AC_N1,159.512,-140.5128,45.0,top
C_EEG_AC_N2,154.7858,-145.0848,0.0,top
C_EEG_AC_P1,161.2392,-142.24,45.0,top
C_EEG_AC_P2,162.485383,-144.448217,45.0,top
C_EEG_AVDD_100N1,169.95,-138.735,315.0,top
C_EEG_AVDD_10U1,171.441751,-136.553249,45.0,top
C_EEG_DIFF1,161.524411,-138.129411,315.0,top
C_EEG_DIFF2,162.774409,-139.564411,135.0,top
C_EEG_DVDD_100N1,166.975,-128.655,45.0,top
C_EEG_DVDD_10U1,168.39,-129.765,45.0,top
C_EEG_PGA1,160.165,-136.77,315.0,top
C_EEG_PGA2,164.204411,-140.82441,315.0,top
C_EEG_REF_100N1,167.17,-141.65,315.0,top
C_EEG_REF_10U1,166.17,-143.345,315.0,top
C_EEG_RLD_FB1,159.715,-133.23,315.0,top
C_EEG_VCAP1,168.821396,-140.451396,315.0,top
C_EEG_VCAP2,161.29,-130.2258,315.0,top
C_M1,163.8,-124.53,25.0,top
C_M2,157.485,-123.505,180.0,top
C_PD_BIAS1,145.7452,-136.0424,90.0,top
C_PD_FB1,142.0876,-142.6964,90.0,top
C_PD_TIA_SUPPLY1,143.5608,-145.288,180.0,top
C_PWR3,144.399,-113.5,90.0,top
C_PWR4,150.15,-116.865,270.0,top
C_PWR_SW_CT1,152.677799,-120.0856,180.0,top
C_STIM_VCC1,149.9616,-147.6756,90.0,top
C_STIM_VM1,145.4912,-148.082,180.0,top
C_STIM_VM2,148.285198,-147.7134,90.0,top
C_TEMP1,151.13,-122.8852,270.0,top
D_730,145.335,-130.0812,0.0,bottom
D_850,153.765,-130.08,0.0,bottom
D_PD1,147.756,-139.0104,0.0,bottom
E_EEG1,164.43,-148.205,0.0,bottom
E_EEG2,127.508,-134.6708,0.0,bottom
E_EEG3,154.2796,-137.7696,0.0,bottom
IC1,136.2964,-133.858,90.0,top
IC2,165.275,-135.145,45.0,top
J1,136.787089,-113.014424,40.0,top
J_PROG1,159.609266,-111.764247,213.0,bottom
P1,149.69,-113.03,0.0,top
R1,157.49,-121.755,0.0,top
R2,157.49,-119.98,0.0,top
RFB_730,133.7564,-121.7676,45.0,top
RFB_850,146.8628,-123.4841,90.0,top
R_ADC_CS_PU1,134.975,-128.155999,270.0,top
R_ADC_IRQ_PU1,138.81,-128.155999,270.0,top
R_ADC_PHOTO_N1,139.954,-139.4846,90.0,top
R_ADC_PHOTO_P1,135.2296,-139.4846,90.0,top
R_EEG_BIAS_N1,157.6324,-137.3124,45.0,top
R_EEG_BIAS_N2,158.0388,-143.7132,135.0,top
R_EEG_BIAS_P1,158.75,-138.43,225.0,top
R_EEG_BIAS_P2,164.3888,-145.4404,225.0,top
R_EEG_CS_PU1,170.66,-132.28,45.0,top
R_EEG_GPIO1,163.0426,-129.0574,135.0,top
R_EEG_GPIO2,164.213363,-127.908362,135.0,top
R_EEG_PROT_N1,128.3208,-138.0744,310.0,top
R_EEG_PROT_N2,154.2796,-140.5128,270.0,top
R_EEG_PROT_P1,166.4716,-146.9136,135.0,top
R_EEG_PROT_P2,160.274,-146.7998,315.0,top
R_EEG_RESET_PD1,171.83,-133.51,45.0,top
R_EEG_RLD_FB1,160.1978,-131.9276,315.0,top
R_EEG_SUPPLY_A1,158.305,-133.87,135.0,top
R_ON_PD1,156.0068,-114.7572,145.0,top
R_PD_BIAS_BOT1,144.1704,-136.0424,90.0,top
R_PD_BIAS_TOP1,142.5448,-136.0424,270.0,top
R_PD_FB1,142.0876,-139.5476,90.0,top
R_PD_SUPPLY1,140.9192,-136.0546,270.0,top
R_SLEEP_PD1,152.4,-148.7932,180.0,top
R_STIM_IN1,152.4,-150.4188,0.0,top
R_STIM_IN2,152.4,-152.0444,0.0,top
R_STIM_N1,145.7452,-151.4348,180.0,top
R_STIM_P1,149.606,-154.1272,180.0,top
R_STIM_PD1,155.6512,-153.7716,10.0,top
R_STIM_PD2,142.6972,-153.0096,160.0,top
R_TEMP_ALERT1,149.3012,-122.8852,90.0,top
S1,149.9708,-110.3516,180.0,top
STIM_E_N1,145.6436,-153.5684,0.0,bottom
STIM_E_P1,152.5016,-154.0764,0.0,bottom
U1,165.074854,-118.717076,205.0,top
U2,147.195,-116.885,0.0,top
U3,152.892799,-117.1806,270.0,top
U4,149.0782,-150.5116,0.0,top
U_LED730,129.145001,-127.12585,90.0,top
U_LED850,141.56055,-123.266199,0.0,top
U_PD_TIA1,144.6784,-140.996,270.0,top
U_TEMP1,150.0,-126.0268,180.0,top
